Отметка времени,Месяц операции,Название операции,Сумма,Категория,Регулярная трата
11/12/2024 22:24:22,Март,Покупка курса дата сатаниста,200000.00,Услуги,ЛОЖЬ
11/12/2024 22:24:37,Октябрь,Покупка удобного кресла,50000.00,Товары,ЛОЖЬ
11/12/2024 22:54:18,Октябрь,Покупка большого монитора,30000.00,Товары,ЛОЖЬ
11/12/2024 22:54:51,Октябрь,Покупка тихой клавиатуры,10000.00,Товары,ЛОЖЬ
11/12/2024 22:55:10,Октябрь,Покупка тихой мыши,6000.00,Товары,ЛОЖЬ
11/12/2024 22:55:41,Октябрь,Потеря времени,0.00,Другое,ИСТИНА
11/13/2024 9:47:36,Ноябрь,Покупка мешка кофе,65000.00,Товары,ИСТИНА
11/13/2024 19:54:38,Ноябрь,Консультация психотерапевта,3000.00,Услуги,ЛОЖЬ
11/13/2024 20:01:48,Ноябрь,Занятие йогой,1500.00,Услуги,ЛОЖЬ
11/13/2024 20:04:03,Ноябрь,Массаж мозга,10000.00,Услуги,ИСТИНА
11/13/2024 20:06:51,Ноябрь,Невероятно ценная услуга,1000000.00,Услуги,ЛОЖЬ
11/13/2024 20:08:27,Ноябрь,Двух недельный отпуск ,200000.00,Другое,ЛОЖЬ
11/13/2024 20:14:17,Ноябрь,Шашлыки на снегу,10000.00,Другое,ЛОЖЬ
11/13/2024 20:15:15,Ноябрь,Что то очень нужное,50000.00,Другое,ЛОЖЬ
11/13/2024 20:15:32,Ноябрь,Что то совсем не нужное,500.00,Другое,ЛОЖЬ